Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	Run Accession	Instrument Platform	CheckM completeness	CheckM contamination	CheckM completeness percentile
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460740	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460742	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460744	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460745	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460747	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460750	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460756	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460758	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460762	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460764	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460774	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR10914317	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460739	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460741	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460743	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460749	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460751	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460752	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460753	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460754	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460761	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460770	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460771	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460772	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460775	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460737	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460746	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460748	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460755	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460757	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460759	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460760	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460763	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460765	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460766	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460767	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460768	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460769	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010092965.1	Escherichia coli	562	PRJNA602061	SAMN13880799	ASM1009296v1	201609	201609	ONT	1	5195374	140.0		SRR11460773	OXFORD_NANOPORE	98.67	0.75	28.895374
GCF_010365325.1	Escherichia coli	562	PRJNA604100	SAMN13951926	ASM1036532v1	9	9	ONT	6	5375875	80.0		SRR11038986	OXFORD_NANOPORE	98.51	1.74	22.962399
GCF_010365345.1	Escherichia coli	562	PRJNA604100	SAMN13951925	ASM1036534v1	32-4	32-4	ONT	12	5173218	80.0		SRR11038985	OXFORD_NANOPORE	98.04	0.63	11.771156
GCF_010365365.1	Escherichia coli	562	PRJNA604100	SAMN13951924	ASM1036536v1	64	64	ONT	4	4835250	80.0		SRR11038974	OXFORD_NANOPORE	97.81	0.18	9.306519
GCF_010365385.1	Escherichia coli	562	PRJNA604100	SAMN13951921	ASM1036538v1	142	142	ONT	7	5350019	80.0		SRR11038963	OXFORD_NANOPORE	99.04	1.07	54.3633
GCF_010365405.1	Escherichia coli	562	PRJNA604100	SAMN13951923	ASM1036540v1	61	61	ONT	4	4835592	80.0		SRR11038965	OXFORD_NANOPORE	97.81	0.18	9.306519
GCF_010365425.1	Escherichia coli	562	PRJNA604100	SAMN13951922	ASM1036542v1	10	10	ONT	7	5126529	80.0		SRR11038964	OXFORD_NANOPORE	97.74	1.35	8.689429
GCF_010365465.1	Escherichia coli	562	PRJNA604100	SAMN13951920	ASM1036546v1	124	124	ONT	5	4910586	80.0		SRR11038962	OXFORD_NANOPORE	99.35	0.46	78.70672
GCF_010365485.1	Escherichia coli	562	PRJNA604100	SAMN13951918	ASM1036548v1	53	53	ONT	8	5234237	80.0		SRR11038960	OXFORD_NANOPORE	99.41	0.5	83.7977
GCF_010365505.1	Escherichia coli	562	PRJNA604100	SAMN13951917	ASM1036550v1	163	163	ONT	5	4995341	80.0		SRR11038959	OXFORD_NANOPORE	98.35	0.74	18.12234
GCF_010365525.1	Escherichia coli	562	PRJNA604100	SAMN13951916	ASM1036552v1	164	164	ONT	4	5030497	80.0		SRR11038984	OXFORD_NANOPORE	98.54	0.67	24.352707
GCF_010365545.1	Escherichia coli	562	PRJNA604100	SAMN13951915	ASM1036554v1	38	38	ONT	3	4827947	80.0		SRR11038983	OXFORD_NANOPORE	99.35	0.36	78.70672
GCF_010706435.1	Escherichia coli	562	PRJNA524094	SAMN13976059	ASM1070643v1	GW-AmxH19	GW-AmxH19	Illumina;ONT	2	5164286	432.0		SRR11014407	OXFORD_NANOPORE	98.59	0.25	25.941896
GCF_010724935.1	Escherichia coli	562	PRJDB6565	SAMD00108729	ASM1072493v1	E138	E138	Illumina;ONT	1	4812157	202.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae	DRR193900	OXFORD_NANOPORE	98.59	0.51	25.941896
GCF_010725305.1	Escherichia coli	562	PRJDB6565	SAMD00186874	ASM1072530v1	E302	E302	ONT	1	5237933	1.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae	DRR193910	OXFORD_NANOPORE	98.47	0.75	21.823015
GCF_011045475.1	Escherichia coli	562	PRJNA496607	SAMN10246265	ASM1104547v1	CM IVRI KOL-1	CM IVRI KOL-1	PacBio	4	5159926	133.0		SRR8077587	PACBIO_SMRT	97.73	0.56	8.590919
GCF_011064575.1	Escherichia coli	562	PRJNA400628	SAMN12212556	ASM1106457v1	UMB200201_11	UMB200201_11	ONT	1	4707626	148.0		SRR9900640	OXFORD_NANOPORE	99.56	0.34	99.95911
GCF_011330935.2	Escherichia coli	562	PRJNA603908	SAMN13948684	ASM1133093v2	p11A	p11A	ONT	3	5546852	494.0		SRR11146889	OXFORD_NANOPORE	98.91	0.92	42.017807
GCF_011331065.1	Escherichia coli	562	PRJNA603908	SAMN13948681	ASM1133106v1	p10A	p10A	ONT	5	4920692	373.0		SRR11146892	OXFORD_NANOPORE	98.04	0.43	11.771156
GCF_011331215.2	Escherichia coli	562	PRJNA603908	SAMN13948677	ASM1133121v2	p4A	p4A	ONT	1	5255749	198.0		SRR11146901	OXFORD_NANOPORE	98.88	0.51	39.06061
GCF_011492925.1	Escherichia coli	562	PRJNA591373	SAMN14342226	ASM1149292v1	IBS28	IBS28	PacBio	1	4934027	24.0		SRR11365219	PACBIO_SMRT	99.51	0.82	92.935074
GCF_011996085.1	Escherichia coli	562	PRJNA598281	SAMN13705263	ASM1199608v1	CAU16175	CAU16175	ONT	7	6068178	100.0		SRR10813965	OXFORD_NANOPORE	98.28	2.42	16.269215
GCF_012974805.1	Escherichia coli	562	PRJNA525188	SAMN11042946	ASM1297480v1	ATCC 25922	ATCC 25922	PacBio	2	5129124	100.0		SRR8664677	PACBIO_SMRT	98.49	0.18	22.399212
GCF_013317085.1	Escherichia coli	562	PRJNA580336	SAMN13155539	ASM1331708v1	MS6193	MS6193	Illumina;PacBio	4	5146790	86.7		SRR10434752	PACBIO_SMRT	99.28	0.56	73.26816
GCF_013357345.1	Escherichia coli	562	PRJNA580334	SAMN13155204	ASM1335734v1	MS6192	MS6192	Illumina;PacBio	5	5188554	112.9		SRR10428507	PACBIO_SMRT	99.28	0.56	73.26816
GCF_013357365.1	Escherichia coli	562	PRJNA573729	SAMN14449600	ASM1335736v1	RM13322	RM13322	PacBio	2	5698610	201.0		SRR12005555	PACBIO_SMRT	98.69	0.34	29.50131
GCF_013372305.1	Escherichia coli	562	PRJNA636382	SAMN15075998	ASM1337230v1	EcPF40	EcPF40	ONT	5	5210779			SRR11905708	OXFORD_NANOPORE	98.99	0.33	48.887566
GCF_013372325.1	Escherichia coli	562	PRJNA636382	SAMN15075997	ASM1337232v1	EcPF18	EcPF18	ONT	5	5232916			SRR11905709	OXFORD_NANOPORE	99.02	0.51	53.39678
GCF_013372345.1	Escherichia coli	562	PRJNA636382	SAMN15075996	ASM1337234v1	EcPF16	EcPF16	ONT	3	4851525			SRR11905710	OXFORD_NANOPORE	98.43	2.04	20.560957
GCF_013372365.1	Escherichia coli	562	PRJNA636382	SAMN15075995	ASM1337236v1	EcPF15	EcPF15	ONT	3	4938634			SRR11905711	OXFORD_NANOPORE	99.52	0.58	94.85326
GCF_013372385.1	Escherichia coli	562	PRJNA636382	SAMN15075994	ASM1337238v1	EcPF14	EcPF14	ONT	2	5137006			SRR11905712	OXFORD_NANOPORE	98.43	0.41	20.560957
GCF_013372405.1	Escherichia coli	562	PRJNA636382	SAMN15075993	ASM1337240v1	EcPF7	EcPF7	ONT	4	5131782			SRR11905713	OXFORD_NANOPORE	98.89	0.22	39.815247
GCF_013372425.1	Escherichia coli	562	PRJNA636382	SAMN15075992	ASM1337242v1	EcPF5	EcPF5	ONT	3	5280618			SRR11905714	OXFORD_NANOPORE	98.84	0.38	36.74095
GCF_013374235.2	Escherichia coli	562	PRJDB5126	SAMD00099774	ASM1337423v2	M505	M505	Illumina;ONT	5	5172829	169.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae	DRR232346	OXFORD_NANOPORE	98.55	0.38	24.653816
GCF_013374255.1	Escherichia coli	562	PRJDB5126	SAMD00157542	ASM1337425v1	YJ1	YJ1	Illumina;ONT	2	4955855	441.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae	DRR232347	OXFORD_NANOPORE	99.22	0.31	68.15301
GCF_013374275.1	Escherichia coli	562	PRJDB5126	SAMD00157544	ASM1337427v1	YJ3	YJ3	Illumina;ONT	4	5071931	348.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae	DRR232348	OXFORD_NANOPORE	98.02	0.81	11.536961
GCF_013374295.2	Escherichia coli	562	PRJDB5126	SAMD00157545	ASM1337429v2	YJ4	YJ4	Illumina;ONT	5	5138997	158.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae	DRR232349	OXFORD_NANOPORE	98.34	0.31	17.916023
GCF_013374315.1	Escherichia coli	562	PRJDB5126	SAMD00157547	ASM1337431v1	YJ6	YJ6	Illumina;ONT	2	4715546	589.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae	DRR232350	OXFORD_NANOPORE	97.39	0.32	6.345607
GCF_013374335.1	Escherichia coli	562	PRJDB5126	SAMD00157562	ASM1337433v1	F070	F070	Illumina;ONT	2	4967499	406.0	Molecular epidemiology of carbapenem-resistant Enterobacteriaceae	DRR232345	OXFORD_NANOPORE	99.28	0.31	73.26816
GCF_013376575.1	Escherichia coli	562	PRJNA611848	SAMN14351533	ASM1337657v1	ARL09/232	ARL09/232	Illumina;ONT	9	5322305	100.0		SRR11300819	OXFORD_NANOPORE	98.93	2.67	43.339344
GCF_013394575.1	Escherichia coli	562	PRJNA630076	SAMN14823672	ASM1339457v1	K56-43-un	K56-43-un	Illumina;PacBio	1	5140708	292.0		SRR12564403	PACBIO_SMRT	98.87	0.34	38.57735
GCF_013402855.1	Escherichia coli	562	PRJNA643009	SAMN15402835	ASM1340285v1	EC2	EC2	Illumina;ONT	3	5344123	195.0		SRR12123271	OXFORD_NANOPORE	98.87	1.78	38.57735
GCF_013402895.1	Escherichia coli	562	PRJNA643009	SAMN15410927	ASM1340289v1	EC1	EC1	Illumina;ONT	4	5292065	626.0		SRR12123279	OXFORD_NANOPORE	98.2	0.54	14.577796
GCF_014058445.2	Escherichia coli	562	PRJNA643697	SAMN15423745	ASM1405844v2	MBT-5	MBT-5	Illumina;ONT	7	5936184	260.0		SRR12207193	OXFORD_NANOPORE	98.57	0.73	25.20585
GCF_014076685.2	Escherichia coli	562	PRJNA554886	SAMN12285857	ASM1407668v2	1409	1409	Illumina;ONT	4	5063166	135.0		SRR10426896	OXFORD_NANOPORE	99.3	0.29	74.48189
GCF_014076685.2	Escherichia coli	562	PRJNA554886	SAMN12285857	ASM1407668v2	1409	1409	Illumina;ONT	4	5063166	135.0		SRR12316385	OXFORD_NANOPORE	99.3	0.29	74.48189
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR11434956	PACBIO_SMRT	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR11434960	PACBIO_SMRT	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR12825294	OXFORD_NANOPORE	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR11523179	OXFORD_NANOPORE	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR12801740	OXFORD_NANOPORE	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR11434954	PACBIO_SMRT	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR11434957	PACBIO_SMRT	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR11434959	OXFORD_NANOPORE	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR13610060	OXFORD_NANOPORE	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR11434955	OXFORD_NANOPORE	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR11523180	OXFORD_NANOPORE	98.81	0.18	35.166634
GCF_014117345.2	Escherichia coli	562	PRJNA602597	SAMN13901561	ASM1411734v2	E2348/69	E2348/69	Illumina;PacBio	3	5046283	2000.0		SRR13679197	OXFORD_NANOPORE	98.81	0.18	35.166634
GCF_014169995.1	Escherichia coli	562	PRJNA636827	SAMN15086849	ASM1416999v1	IDR1900005638-01-02	IDR1900005638-01-02	Illumina;ONT	3	4779842	234.0		SRR11909877	OXFORD_NANOPORE	99.46	0.59	87.99837
GCF_014295215.1	Escherichia coli	562	PRJNA650131	SAMN15693150	ASM1429521v1	G8	G8	ONT	4	5404155	859.0		SRR12376430	OXFORD_NANOPORE	97.7	0.94	8.353004
GCF_014295235.1	Escherichia coli	562	PRJNA650131	SAMN15693149	ASM1429523v1	G6/7	G6/7	ONT	4	5434724	791.0		SRR12376422	OXFORD_NANOPORE	99.0	0.97	49.54369
GCF_014295255.1	Escherichia coli	562	PRJNA650131	SAMN15693147	ASM1429525v1	G4/9	G4/9	ONT	2	4673472	485.0		SRR12376426	OXFORD_NANOPORE	98.74	0.15	31.789371
GCF_014295275.1	Escherichia coli	562	PRJNA650131	SAMN15693146	ASM1429527v1	G3/10	G3/10	ONT	8	5115106	181.0		SRR12376428	OXFORD_NANOPORE	97.53	2.88	7.0835114
GCF_014295295.1	Escherichia coli	562	PRJNA650131	SAMN15693148	ASM1429529v1	G5	G5	ONT	8	5052732	696.0		SRR12376424	OXFORD_NANOPORE	98.18	1.13	14.168881
GCF_014295315.1	Escherichia coli	562	PRJNA650131	SAMN15693145	ASM1429531v1	G1/2	G1/2	ONT	1	5288297	482.0		SRR12376432	OXFORD_NANOPORE	99.0	0.9	49.54369
GCF_014338505.1	Escherichia coli	562	PRJNA658821	SAMN15889825	ASM1433850v1	MFDpir	MFDpir	ONT	1	4686434	143.0		SRR12506197	OXFORD_NANOPORE	99.15	0.21	61.98026
GCF_014338525.1	Escherichia coli	562	PRJNA658821	SAMN15889824	ASM1433852v1	ST18	ST18	ONT	1	4825686	74.0		SRR12506199	OXFORD_NANOPORE	98.79	0.2	34.291183
GCF_014605875.1	Escherichia coli	562	PRJNA658456	SAMN15871861	ASM1460587v1	EC93	EC93	PacBio	2	4953366	76.0		SRR12518402	PACBIO_SMRT	99.1	0.97	58.653183
GCF_014607515.1	Escherichia coli	562	PRJNA483500	SAMN07977663	ASM1460751v1	RM9872-C1	RM9872-C1	PacBio	2	5475422	108.0		SRR10257928	PACBIO_SMRT	98.83	0.31	36.175907
GCF_014656605.1	Escherichia coli	562	PRJNA662169	SAMN16077359	ASM1465660v1	M11957	M11957	Illumina;ONT	2	5037044	50.0		SRR12844970	OXFORD_NANOPORE	98.88	0.2	39.06061
GCF_014656625.1	Escherichia coli	562	PRJNA662169	SAMN16077358	ASM1465662v1	M00057	M00057	Illumina;ONT	2	5040622	50.0		SRR12844968	OXFORD_NANOPORE	98.83	0.2	36.175907
GCF_014679325.1	Escherichia coli	562	PRJDB10417	SAMD00241721	ASM1467932v1	HUE1	missing	Illumina;ONT	6	4742352	220.0	Analysis of HUE1 sequence	DRR241417	OXFORD_NANOPORE	98.86	0.4	37.915653
GCF_014705965.1	Escherichia coli	562	PRJNA655572	SAMN15743069	ASM1470596v1	WEM25	WEM25	Illumina;ONT	5	4875160	30.0		SRR21634604	OXFORD_NANOPORE	98.06	0.8	12.075984
GCF_014805805.1	Escherichia coli	562	PRJNA664712	SAMN16231001	ASM1480580v1	SMBL	SMBL	Illumina;ONT	3	5024336	20.0		SRR21634504	OXFORD_NANOPORE	99.26	0.56	71.8035
GCF_014825845.1	Escherichia coli	562	PRJNA294158	SAMN16202109	ASM1482584v1	20R2R	20R2R	PacBio	2	5603401	256.0		SRR12697380	PACBIO_SMRT	99.37	0.47	80.45576
GCF_014825845.1	Escherichia coli	562	PRJNA294158	SAMN16202109	ASM1482584v1	20R2R	20R2R	PacBio	2	5603401	256.0		SRR12697381	PACBIO_SMRT	99.37	0.47	80.45576
GCF_014825845.1	Escherichia coli	562	PRJNA294158	SAMN16202109	ASM1482584v1	20R2R	20R2R	PacBio	2	5603401	256.0		SRR12697382	PACBIO_SMRT	99.37	0.47	80.45576
GCF_014854575.1	Escherichia coli	562	PRJNA666127	SAMN16279676	ASM1485457v1	C311	C311	Illumina;ONT	3	5358674	25.0		SRR21620894	OXFORD_NANOPORE	98.54	0.25	24.352707
GCF_014962565.1	Escherichia coli	562	PRJNA662169	SAMN16435111	ASM1496256v1	M7424	M7424	Illumina;ONT	4	5154279	40.0		SRR12844972	OXFORD_NANOPORE	98.88	0.33	39.06061
GCF_016026195.1	Escherichia coli	562	PRJNA231221	SAMN13450476	ASM1602619v1	FDAARGOS_946	FDAARGOS_946	Illumina;PacBio	4	5389640	644.0		SRR12047203	PACBIO_SMRT	99.42	0.15	84.3962
GCF_016026195.1	Escherichia coli	562	PRJNA231221	SAMN13450476	ASM1602619v1	FDAARGOS_946	FDAARGOS_946	Illumina;PacBio	4	5389640	644.0		SRR12047204	PACBIO_SMRT	99.42	0.15	84.3962
GCF_016026235.1	Escherichia coli	562	PRJNA231221	SAMN13450474	ASM1602623v1	FDAARGOS_944	FDAARGOS_944	Illumina;PacBio	2	5330898	891.0		SRR12047144	PACBIO_SMRT	97.31	0.62	6.027769
GCF_016026335.1	Escherichia coli	562	PRJNA231221	SAMN13450473	ASM1602633v1	FDAARGOS_943	FDAARGOS_943	Illumina;PacBio	3	5433224	817.0		SRR12047142	PACBIO_SMRT	97.64	0.59	7.9236445
GCF_016126995.1	Escherichia coli	562	PRJNA231221	SAMN16357227	ASM1612699v1	FDAARGOS_1058	FDAARGOS_1058	Illumina;PacBio	4	5400968	685.4		SRR12825960	PACBIO_SMRT	99.21	0.61	67.4783
GCF_016127695.1	Escherichia coli	562	PRJNA231221	SAMN16357228	ASM1612769v1	FDAARGOS_1059	FDAARGOS_1059	Illumina;PacBio	5	5415751	591.3		SRR12825962	PACBIO_SMRT	98.47	0.37	21.823015
GCF_016629485.1	Escherichia coli	562	PRJDB10853	SAMD00260480	ASM1662948v1	TA8571	TA8571	Illumina;ONT	5	4818647	289.0	Complete genome sequence of Escherichia coli strain TA8571	DRR258152	OXFORD_NANOPORE	98.49	0.48	22.399212
GCF_016728085.1	Escherichia coli	562	PRJNA231221	SAMN16357246	ASM1672808v1	FDAARGOS_1077	FDAARGOS_1077	Illumina;PacBio	3	5091375	775.5		SRR12931596	PACBIO_SMRT	97.91	0.53	10.207989
GCF_016767775.1	Escherichia coli	562	PRJNA622257	SAMN14503865	ASM1676777v1	MS1170	MS1170	Illumina;ONT	4	4993909	514.0		SRR11476986	OXFORD_NANOPORE	98.87	0.23	38.57735
GCF_016888925.1	Escherichia coli	562	PRJNA231221	SAMN16357402	ASM1688892v1	FDAARGOS_1260	FDAARGOS_1260	Illumina;PacBio	2	5180264	833.1		SRR13182984	PACBIO_SMRT	99.09	1.0	57.759148
GCF_016888965.1	Escherichia coli	562	PRJNA231221	SAMN16357403	ASM1688896v1	FDAARGOS_1261	FDAARGOS_1261	Illumina;PacBio	1	5050101	738.2		SRR13182985	PACBIO_SMRT	99.08	0.46	57.14392
GCF_016889025.1	Escherichia coli	562	PRJNA231221	SAMN16357393	ASM1688902v1	FDAARGOS_1251	FDAARGOS_1251	Illumina;PacBio	2	5237386	952.7		SRR13182698	PACBIO_SMRT	99.13	0.57	60.63456
GCF_016889045.1	Escherichia coli	562	PRJNA231221	SAMN16357397	ASM1688904v1	FDAARGOS_1255	FDAARGOS_1255	Illumina;PacBio	3	5063498	758.3		SRR13182789	PACBIO_SMRT	98.9	0.18	40.560585
