Run Accession	Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	Instrument Platform	CheckM completeness	CheckM contamination	CheckM completeness percentile	Assembly Release Date
SRR27678745	GCF_030167035.1	Bacillus toyonensis	155322	PRJNA960711	SAMN34374892	ASM3016703v1	Monterrey_S3	Monterrey_S3	ONT	3	5678058	1.0		OXFORD_NANOPORE	99.41	0.1	100.0	2023-06-05
SRR9701318	GCF_006489235.1	Bacillus velezensis	492670	PRJNA548267	SAMN12015793	ASM648923v1	UCMB5044	UCMB5044	Illumina;PacBio	1	3983303	1000.0		PACBIO_SMRT	99.41	0.01	99.73238	2019-06-26
SRR9701320	GCF_006489255.1	Bacillus velezensis	492670	PRJNA176687	SAMN12015780	ASM648925v1	UCMB5007	UCMB5007	Illumina;PacBio	1	3983323	1000.0		PACBIO_SMRT	99.41	0.01	99.73238	2019-06-26
SRR13837247	GCF_016904925.1	Bacillus velezensis	492670	PRJNA700378	SAMN17825431	ASM1690492v1	Sam8H1	Sam8H1	PacBio	2	4131713	50.0		PACBIO_SMRT	99.41	0.29	99.73238	2021-02-17
SRR16961502	GCF_020911825.1	Bacillus velezensis	492670	PRJNA780366	SAMN23138931	ASM2091182v1	JIN4	JIN4	PacBio	1	3904585	102.0		PACBIO_SMRT	99.41	0.07	99.73238	2021-11-22
SRR17327075	GCF_021397795.1	Bacillus velezensis	492670	PRJNA792055	SAMN24375058	ASM2139779v1	BR-01	BR-01	ONT	2	4027360	200.0		OXFORD_NANOPORE	99.41	0.59	99.73238	2022-01-10
SRR23940503	GCF_023586825.4	Bacillus velezensis	492670	PRJNA806727	SAMN25898145	ASM2358682v4	V 3.14	V 3.14	ONT	4	4184031	386.0		OXFORD_NANOPORE	99.41	0.29	99.73238	2022-05-30
SRR23940491	GCF_023586845.4	Bacillus velezensis	492670	PRJNA806727	SAMN25898146	ASM2358684v4	R 4.6	R 4.6	ONT	4	4184250	346.0		OXFORD_NANOPORE	99.41	0.29	99.73238	2022-05-30
SRR22077206	GCF_025857215.1	Bacillus velezensis	492670	PRJNA873517	SAMN30498090	ASM2585721v1	ML61	ML61	Illumina;PacBio	1	4035016	408.7		PACBIO_SMRT	99.41	0.07	99.73238	2022-10-26
SRR23701664	GCF_029025045.1	Bacillus velezensis	492670	PRJNA937909	SAMN33421462	ASM2902504v1	XRD006	XRD006	ONT	1	4371975	233.0		OXFORD_NANOPORE	99.41	0.01	99.73238	2023-03-08
SRR23704013	GCF_029542425.1	Bacillus velezensis	492670	PRJNA941142	SAMN33591006	ASM2954242v1	12Y	12Y	ONT	1	4371985	233.0		OXFORD_NANOPORE	99.41	0.01	99.73238	2023-04-03
SRR23325988	GCF_029636745.1	Bacillus velezensis	492670	PRJNA928861	SAMN32945705	ASM2963674v1	Lwp6	Lwp6	Illumina;ONT	2	4173761	274.0		OXFORD_NANOPORE	99.41	0.59	99.73238	2023-04-10
SRR23329172	GCF_029866825.1	Bacillus velezensis	492670	PRJNA929032	SAMN32949497	ASM2986682v1	3ZT	3ZT	ONT	2	4203336	241.0		OXFORD_NANOPORE	99.41	0.59	99.73238	2023-04-25
SRR27558654	GCF_036320795.1	Bacillus velezensis	492670	PRJNA1065082	SAMN39450124	ASM3632079v1	JBCS608	JBCS608	PacBio	1	4027436	100.0		PACBIO_SMRT	99.41	0.07	99.73238	2024-01-31
SRR28222457	GCF_037126165.1	Bacillus velezensis	492670	PRJNA1083723	SAMN40257362	ASM3712616v1			Illumina;ONT	1	4024416	300.0		OXFORD_NANOPORE	99.41	0.07	99.73238	2024-04-05
SRR28222992	GCF_039955105.1	Bacillus velezensis	492670	PRJNA1083714	SAMN40257124	ASM3995510v1	E69	E69	Illumina;ONT	1	3904583	200.0		OXFORD_NANOPORE	99.41	0.07	99.73238	2024-05-31
SRR5817726	GCF_002222615.2	Bacteroides caccae	47678	PRJNA393727	SAMN07340701	ASM222261v2	ATCC 43185	ATCC 43185	ONT	1	4570803	17.0		OXFORD_NANOPORE	96.64	1.01	98.65471	2017-08-30
SRR13181987	GCF_016889745.1	Bacteroides caccae	47678	PRJNA231221	SAMN16357361	ASM1688974v1	FDAARGOS_1219	FDAARGOS_1219	Illumina;PacBio	1	4570957	1311.2		PACBIO_SMRT	96.57	1.01	94.618835	2021-02-15
SRR15171323	GCF_025146315.1	Bacteroides caccae	47678	PRJNA746600	SAMN20222641	ASM2514631v1	ATCC 43185	ATCC 43185	Illumina;ONT	1	4570799	100.0		OXFORD_NANOPORE	96.61	1.01	96.41256	2022-09-12
SRR22997615	GCF_020091405.1	Bacteroides cellulosilyticus	246787	PRJNA646575	SAMN15546934	ASM2009140v1	BFG-250	BFG-250	PacBio	1	6935738	267.0		OXFORD_NANOPORE	100.0	0.47	100.0	2021-09-22
SRR15521837	GCF_020091405.1	Bacteroides cellulosilyticus	246787	PRJNA646575	SAMN15546934	ASM2009140v1	BFG-250	BFG-250	PacBio	1	6935738	267.0		PACBIO_SMRT	100.0	0.47	100.0	2021-09-22
SRR15171318	GCF_025146565.1	Bacteroides eggerthii	28111	PRJNA746600	SAMN20222646	ASM2514656v1	DSM 20697	DSM 20697	Illumina;ONT	1	4206509	100.0		OXFORD_NANOPORE	98.94	2.17	96.969696	2022-09-12
SRR22997619	GCF_020091505.1	Bacteroides faecis	674529	PRJNA646575	SAMN15547144	ASM2009150v1	BFG-108	BFG-108	PacBio	3	6352228	288.0		OXFORD_NANOPORE	99.88	0.12	100.0	2021-09-22
SRR15521842	GCF_020091505.1	Bacteroides faecis	674529	PRJNA646575	SAMN15547144	ASM2009150v1	BFG-108	BFG-108	PacBio	3	6352228	288.0		PACBIO_SMRT	99.88	0.12	100.0	2021-09-22
SRR8893065	GCF_000724665.2	Bacteroides fragilis	817	PRJNA244944	SAMN02730071	ASM72466v3	DCMOUH0018B	DCMOUH0018B	Illumina;ONT	4	5316784	200.0		OXFORD_NANOPORE	99.23	0.83	79.60848	2019-05-15
SRR8893068	GCF_000724665.2	Bacteroides fragilis	817	PRJNA244944	SAMN02730071	ASM72466v3	DCMOUH0018B	DCMOUH0018B	Illumina;ONT	4	5316784	200.0		PACBIO_SMRT	99.23	0.83	79.60848	2019-05-15
SRR8961731	GCF_000724815.2	Bacteroides fragilis	817	PRJNA254455	SAMN02903957	ASM72481v2	DCMOUH0085B	DCMOUH0085B	Illumina;ONT	1	5504076	200.0		OXFORD_NANOPORE	99.35	0.86	82.38173	2019-05-15
SRR8961732	GCF_000724815.2	Bacteroides fragilis	817	PRJNA254455	SAMN02903957	ASM72481v2	DCMOUH0085B	DCMOUH0085B	Illumina;ONT	1	5504076	200.0		PACBIO_SMRT	99.35	0.86	82.38173	2019-05-15
SRR8961729	GCF_000724815.2	Bacteroides fragilis	817	PRJNA254455	SAMN02903957	ASM72481v2	DCMOUH0085B	DCMOUH0085B	Illumina;ONT	1	5504076	200.0		OXFORD_NANOPORE	99.35	0.86	82.38173	2019-05-15
SRR15283797	GCF_021359565.1	Bacteroides fragilis	817	PRJNA745162	SAMN20148209	ASM2135956v1	IHMA_4	IHMA_4	Illumina;ONT	1	5540606	41.0		OXFORD_NANOPORE	99.34	1.3	82.055466	2022-01-04
SRR15283805	GCF_021359585.1	Bacteroides fragilis	817	PRJNA745162	SAMN20148214	ASM2135958v1	IHMA_13	IHMA_13	Illumina;ONT	1	4932104	147.0		OXFORD_NANOPORE	99.47	0.58	99.34747	2022-01-04
SRR22689963	GCF_030294885.1	Bacteroides fragilis	817	PRJNA910954	SAMN32154224	ASM3029488v1	P207	P207	Illumina;ONT	1	5040211	804.0		OXFORD_NANOPORE	99.39	0.87	99.18434	2023-06-20
SRR15171313	GCF_025146775.1	Bacteroides ovatus	28116	PRJNA746600	SAMN20222651	ASM2514677v1	ATCC 8483	ATCC 8483	Illumina;ONT	1	6472384	100.0		OXFORD_NANOPORE	99.07	0.68	94.03578	2022-09-12
SRR15521845	GCF_020091345.1	Bacteroides salyersiae	291644	PRJNA646575	SAMN15546909	ASM2009134v1	BFG-288	BFG-288	PacBio	2	5307048	472.0		PACBIO_SMRT	100.0	1.06	100.0	2021-09-22
SRR12280256	GCF_020091385.1	Bacteroides salyersiae	291644	PRJNA646575	SAMN15547012	ASM2009138v1	BFG-256	BFG-256	PacBio	1	5374479	370.0		OXFORD_NANOPORE	100.0	0.35	100.0	2021-09-22
SRR12280257	GCF_020091385.1	Bacteroides salyersiae	291644	PRJNA646575	SAMN15547012	ASM2009138v1	BFG-256	BFG-256	PacBio	1	5374479	370.0		OXFORD_NANOPORE	100.0	0.35	100.0	2021-09-22
SRR22997614	GCF_020091385.1	Bacteroides salyersiae	291644	PRJNA646575	SAMN15547012	ASM2009138v1	BFG-256	BFG-256	PacBio	1	5374479	370.0		OXFORD_NANOPORE	100.0	0.35	100.0	2021-09-22
SRR15521836	GCF_020091385.1	Bacteroides salyersiae	291644	PRJNA646575	SAMN15547012	ASM2009138v1	BFG-256	BFG-256	PacBio	1	5374479	370.0		PACBIO_SMRT	100.0	0.35	100.0	2021-09-22
SRR15171302	GCF_025147325.1	Bacteroides stercoris ATCC 43183	449673	PRJNA746600	SAMN20222659	ASM2514732v1	ATCC 43183	ATCC 43183	Illumina;ONT	1	4007931	100.0		OXFORD_NANOPORE	97.95	1.76	97.76119	2022-09-12
SRR12280477	GCF_020091305.1	Bacteroides thetaiotaomicron	818	PRJNA646575	SAMN15547032	ASM2009130v1	BFG-55	BFG-55	PacBio	1	6337561	269.0		OXFORD_NANOPORE	98.18	1.21	84.30962	2021-09-22
SRR12280475	GCF_020091305.1	Bacteroides thetaiotaomicron	818	PRJNA646575	SAMN15547032	ASM2009130v1	BFG-55	BFG-55	PacBio	1	6337561	269.0		OXFORD_NANOPORE	98.18	1.21	84.30962	2021-09-22
SRR12280476	GCF_020091305.1	Bacteroides thetaiotaomicron	818	PRJNA646575	SAMN15547032	ASM2009130v1	BFG-55	BFG-55	PacBio	1	6337561	269.0		OXFORD_NANOPORE	98.18	1.21	84.30962	2021-09-22
SRR15521844	GCF_020091305.1	Bacteroides thetaiotaomicron	818	PRJNA646575	SAMN15547032	ASM2009130v1	BFG-55	BFG-55	PacBio	1	6337561	269.0		PACBIO_SMRT	98.18	1.21	84.30962	2021-09-22
SRR22997623	GCF_020091305.1	Bacteroides thetaiotaomicron	818	PRJNA646575	SAMN15547032	ASM2009130v1	BFG-55	BFG-55	PacBio	1	6337561	269.0		OXFORD_NANOPORE	98.18	1.21	84.30962	2021-09-22
SRR18070731	GCF_022453665.1	Bacteroides thetaiotaomicron	818	PRJNA807538	SAMN26036045	ASM2245366v1	VPI 5482	VPI 5482	Illumina;ONT	2	6313959	97.2		OXFORD_NANOPORE	98.32	0.41	89.33054	2022-03-03
SRR15171300	GCF_025147485.1	Bacteroides uniformis	820	PRJNA746600	SAMN20222662	ASM2514748v1	ATCC 8492	ATCC 8492	Illumina;ONT	1	4629452	100.0		OXFORD_NANOPORE	97.6	0.5	96.1183	2022-09-12
SRR16259016	GCF_019930925.1	Bartonella henselae	38323	PRJNA231221	SAMN20888879	ASM1993092v1	FDAARGOS_1462	FDAARGOS_1462	Illumina;PacBio	1	1946727	2944.2		PACBIO_SMRT	99.95	0.13	100.0	2021-09-12
SRR14294785	GCF_021560385.1	Bartonella henselae	38323	PRJNA720375	SAMN18647583	ASM2156038v1	FR96/BK3	FR96/BK3	PacBio	1	1935288	922.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR14294773	GCF_021560385.1	Bartonella henselae	38323	PRJNA720375	SAMN18647583	ASM2156038v1	FR96/BK3	FR96/BK3	PacBio	1	1935288	922.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR14294779	GCF_021560385.1	Bartonella henselae	38323	PRJNA720375	SAMN18647583	ASM2156038v1	FR96/BK3	FR96/BK3	PacBio	1	1935288	922.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR14294776	GCF_021560445.1	Bartonella henselae	38323	PRJNA720375	SAMN18647580	ASM2156044v1	G-5436	G-5436	PacBio	1	1963796	629.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR14294782	GCF_021560445.1	Bartonella henselae	38323	PRJNA720375	SAMN18647580	ASM2156044v1	G-5436	G-5436	PacBio	1	1963796	629.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR14294788	GCF_021560445.1	Bartonella henselae	38323	PRJNA720375	SAMN18647580	ASM2156044v1	G-5436	G-5436	PacBio	1	1963796	629.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR14294771	GCF_021560465.1	Bartonella henselae	38323	PRJNA720375	SAMN18647579	ASM2156046v1	Berlin-I	Berlin-I	PacBio	1	1931655	652.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR14294783	GCF_021560465.1	Bartonella henselae	38323	PRJNA720375	SAMN18647579	ASM2156046v1	Berlin-I	Berlin-I	PacBio	1	1931655	652.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR14294777	GCF_021560465.1	Bartonella henselae	38323	PRJNA720375	SAMN18647579	ASM2156046v1	Berlin-I	Berlin-I	PacBio	1	1931655	652.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR14294789	GCF_021560505.1	Bartonella henselae	38323	PRJNA720375	SAMN18647577	ASM2156050v1	ATCC49882T var-1/ Houston-I	ATCC49882T var-1/ Houston-I	PacBio	1	1955459	1113.0		PACBIO_SMRT	99.95	0.13	100.0	2022-01-24
SRR6873509	GCF_003606325.2	Bartonella kosoyi	2133959	PRJNA439376	SAMN08765113	ASM360632v3	Tel Aviv	Tel Aviv	ONT	2	2276164	100.0		OXFORD_NANOPORE	98.85	0.53	100.0	2019-08-22
SRR6873510	GCF_003606325.2	Bartonella kosoyi	2133959	PRJNA439376	SAMN08765113	ASM360632v3	Tel Aviv	Tel Aviv	ONT	2	2276164	100.0		OXFORD_NANOPORE	98.85	0.53	100.0	2019-08-22
SRR6873507	GCF_003606345.3	Bartonella krasnovii	2267275	PRJNA439376	SAMN08765112	ASM360634v3	OE 1-1	OE 1-1	ONT	2	2186621	100.0		OXFORD_NANOPORE	99.92	0.13	100.0	2019-08-22
SRR6873508	GCF_003606345.3	Bartonella krasnovii	2267275	PRJNA439376	SAMN08765112	ASM360634v3	OE 1-1	OE 1-1	ONT	2	2186621	100.0		OXFORD_NANOPORE	99.92	0.13	100.0	2019-08-22
SRR19156781	GCF_022569435.1	Bartonella krasnovii	2267275	PRJNA801099	SAMN20720096	ASM2256943v1	B35_1_2	B35_1_2	ONT	1	2066285	100.0		OXFORD_NANOPORE	99.92	0.13	100.0	2022-03-15
SRR19169392	GCF_022569455.1	Bartonella krasnovii	2267275	PRJNA801099	SAMN20720095	ASM2256945v1	B71_4	B71_4	ONT	1	2047560	100.0		OXFORD_NANOPORE	99.92	0.13	100.0	2022-03-15
SRR19169393	GCF_022569475.1	Bartonella krasnovii	2267275	PRJNA801099	SAMN20720094	ASM2256947v1	B60_6	B60_6	ONT	1	2137231	100.0		OXFORD_NANOPORE	99.92	0.13	100.0	2022-03-15
SRR19169394	GCF_022569495.1	Bartonella krasnovii	2267275	PRJNA801099	SAMN20720093	ASM2256949v1	B51_4	B51_4	ONT	1	2182071	100.0		OXFORD_NANOPORE	99.92	0.13	100.0	2022-03-15
SRR19154492	GCF_022569575.1	Bartonella krasnovii	2267275	PRJNA801099	SAMN20720089	ASM2256957v1	75A_1b	75A_1b	ONT	1	2064866	100.0		OXFORD_NANOPORE	99.92	0.13	100.0	2022-03-15
SRR19154493	GCF_022569615.1	Bartonella krasnovii	2267275	PRJNA801099	SAMN20720087	ASM2256961v1	75A_4b	75A_4b	ONT	1	2100841	100.0		OXFORD_NANOPORE	99.92	0.13	100.0	2022-03-15
SRR19154494	GCF_022569635.1	Bartonella krasnovii	2267275	PRJNA801099	SAMN20720086	ASM2256963v1	51A_7	51A_7	ONT	1	2175466	100.0		OXFORD_NANOPORE	99.92	0.13	100.0	2022-03-15
SRR21276823	GCF_023375105.1	Bifidobacterium animalis subsp. lactis	302911	PRJNA758747	SAMN21499763	ASM2337510v1	BLa80	BLa80	PacBio	1	1935434	2433.9		PACBIO_SMRT	99.0	0.27	100.0	2022-05-16
SRR24890961	GCF_030250365.2	Bifidobacterium catenulatum	1686	PRJNA751426	SAMN20524389	ASM3025036v2	IMAUFB087	IMAUFB087	ONT	1	2051605	500.0		OXFORD_NANOPORE	99.51	0.25	99.22481	2023-07-13
DRR491367	GCF_036322895.1	Bifidobacterium faecale	1454229	PRJDB16183	SAMD00630223	ASM3632289v1	JCM 19861	JCM 19861	PacBio	1	2213206	35.0		PACBIO_SMRT	99.88	0.98	100.0	2023-08-25
SRR11321271	GCF_011764605.1	Bifidobacterium longum	216816	PRJNA613014	SAMN14390487	ASM1176460v1	Jih1	Jih1	Illumina;ONT	1	2371107	100.0		OXFORD_NANOPORE	99.78	0.25	88.95871	2020-03-23
SRR22533747	GCF_029392315.1	Bifidobacterium sp. ESL0690	2983214	PRJNA906295	SAMN31060673	ASM2939231v1	ESL0690	ESL0690	ONT	1	2639791	151.0		OXFORD_NANOPORE	95.57	1.93	100.0	2023-03-27
SRR22533743	GCF_029392075.1	Bifidobacterium sp. ESL0704	2983219	PRJNA906295	SAMN31060680	ASM2939207v1	ESL0704	ESL0704	ONT	1	2415815	157.0		OXFORD_NANOPORE	95.71	0.9	100.0	2023-03-27
SRR22533733	GCF_029395535.1	Bifidobacterium sp. ESL0732	2983222	PRJNA906295	SAMN31060689	ASM2939553v1	ESL0732	ESL0732	ONT	1	2387641	161.0		OXFORD_NANOPORE	95.83	1.66	100.0	2023-03-27
SRR22533731	GCF_029395515.1	Bifidobacterium sp. ESL0764	2983228	PRJNA906295	SAMN31060695	ASM2939551v1	ESL0764	ESL0764	ONT	1	2272942	164.0		OXFORD_NANOPORE	95.18	2.12	100.0	2023-03-27
SRR22533697	GCF_029395495.1	Bifidobacterium sp. ESL0769	2983229	PRJNA906295	SAMN31060696	ASM2939549v1	ESL0769	ESL0769	ONT	1	2495776	147.0		OXFORD_NANOPORE	95.06	1.77	100.0	2023-03-27
SRR22533696	GCF_029395475.1	Bifidobacterium sp. ESL0775	2983230	PRJNA906295	SAMN31060697	ASM2939547v1	ESL0775	ESL0775	ONT	1	2255024	171.0		OXFORD_NANOPORE	95.75	1.02	100.0	2023-03-27
SRR22533691	GCF_029395355.1	Bifidobacterium sp. ESL0800	2983236	PRJNA906295	SAMN31060703	ASM2939535v1	ESL0800	ESL0800	ONT	1	2250646	162.0		OXFORD_NANOPORE	95.51	1.63	100.0	2023-03-27
SRR26182002	GCF_041080835.1	Bifidobacterium sp. WK012_4_13	3059035	PRJNA974811	SAMN35298318	WK012_4_13_genomic	WK012_4_13	WK012_4_13	ONT	2	2470594	976.0		OXFORD_NANOPORE	95.61	2.73	100.0	2024-08-08
SRR26182001	GCF_041080825.1	Bifidobacterium sp. WK013_4_14	3059036	PRJNA974811	SAMN35298319	WK013_4_14_genomic	WK013_4_14	WK013_4_14	ONT	1	2576706	701.0		OXFORD_NANOPORE	95.85	2.73	100.0	2024-08-08
SRR26182000	GCF_041080805.1	Bifidobacterium sp. WK048_4_13	3059037	PRJNA974811	SAMN35298320	WK048_4_13_genomic	WK048_4_13	WK048_4_13	ONT	7	2735708	849.0		OXFORD_NANOPORE	95.28	2.97	100.0	2024-08-08
SRR3880376	GCF_001713435.1	Blastomonas sp. RAC04	1842535	PRJNA319833	SAMN04909709	ASM171343v1	RAC04	RAC04	PacBio	5	4403499	298.0		PACBIO_SMRT	99.64	1.7	100.0	2016-08-25
SRR27175321	GCF_034355335.1	Blautia coccoides	1532	PRJNA1002958	SAMN36866739	ASM3435533v1	DSM 935	DSM 935	Illumina;ONT	1	6097890	119.0		OXFORD_NANOPORE	99.17	1.72	100.0	2023-12-13
SRR27183504	GCF_034356035.1	Blautia hydrogenotrophica DSM 10507	476272	PRJNA1002959	SAMN36866738	ASM3435603v1	DSM 10507	DSM 10507	Illumina;ONT	2	3597785	208.0		OXFORD_NANOPORE	99.61	0.08	100.0	2023-12-13
SRR15171260	GCF_025147765.1	Blautia obeum ATCC 29174	411459	PRJNA746600	SAMN20222666	ASM2514776v1	ATCC 29174	ATCC 29174	Illumina;ONT	1	3649956	100.0		OXFORD_NANOPORE	97.34	1.38	88.505745	2022-09-12
SRR15171297	GCF_025147905.1	Blautia sp. KLE_1732_HM_1032	2860051	PRJNA746600	SAMN20222667	ASM2514790v1	KLE_1732_HM_1032	KLE_1732_HM_1032	Illumina;ONT	1	3732965	100.0		OXFORD_NANOPORE	99.23	0.34	100.0	2022-09-12
SRR15171296	GCF_025148125.1	Blautia wexlerae DSM 19850	1121115	PRJNA746600	SAMN20222668	ASM2514812v1	DSM 19850	DSM 19850	Illumina;ONT	1	4685728	100.0		OXFORD_NANOPORE	98.91	1.88	100.0	2022-09-12
SRR27033717	GCF_034424645.1	Bordetella avium	521	PRJNA1047486	SAMN38562714	ASM3442464v1	HAMBI_2160	HAMBI_2160	PacBio	1	3721798	192.0		PACBIO_SMRT	99.92	0.51	100.0	2023-12-17
SRR3441720	GCF_001605275.1	Bordetella pertussis	520	PRJNA266616	SAMN03249373	ASM160527v1	C393		Illumina;PacBio	1	4133777	131.0		PACBIO_SMRT	98.07	0.52	98.144714	2016-03-31
SRR3441725	GCF_001605345.1	Bordetella pertussis	520	PRJNA266616	SAMN03249377	ASM160534v1	H564		Illumina;PacBio	1	4109554	117.0		PACBIO_SMRT	97.28	0.58	94.34137	2016-03-31
SRR3441726	GCF_001605345.1	Bordetella pertussis	520	PRJNA266616	SAMN03249377	ASM160534v1	H564		Illumina;PacBio	1	4109554	117.0		PACBIO_SMRT	97.28	0.58	94.34137	2016-03-31
SRR1659009	GCF_001605365.1	Bordetella pertussis	520	PRJNA266616	SAMN03167927	ASM160536v1	H788		Illumina;PacBio	1	4106823	93.0		PACBIO_SMRT	97.23	0.52	79.591835	2016-03-31
SRR3441661	GCF_001605365.1	Bordetella pertussis	520	PRJNA266616	SAMN03167927	ASM160536v1	H788		Illumina;PacBio	1	4106823	93.0		PACBIO_SMRT	97.23	0.52	79.591835	2016-03-31
SRR1659010	GCF_001605365.1	Bordetella pertussis	520	PRJNA266616	SAMN03167927	ASM160536v1	H788		Illumina;PacBio	1	4106823	93.0		PACBIO_SMRT	97.23	0.52	79.591835	2016-03-31
SRR3441662	GCF_001605365.1	Bordetella pertussis	520	PRJNA266616	SAMN03167927	ASM160536v1	H788		Illumina;PacBio	1	4106823	93.0		PACBIO_SMRT	97.23	0.52	79.591835	2016-03-31
SRR3441729	GCF_001605405.1	Bordetella pertussis	520	PRJNA266616	SAMN03249379	ASM160540v1	I469		Illumina;PacBio	1	4111656	97.0		PACBIO_SMRT	97.25	0.58	83.39518	2016-03-31
SRR3441731	GCF_001605425.1	Bordetella pertussis	520	PRJNA266616	SAMN03249380	ASM160542v1	I472		Illumina;PacBio	1	4111652	146.0		PACBIO_SMRT	97.22	0.58	78.75696	2016-03-31
SRR3441732	GCF_001605425.1	Bordetella pertussis	520	PRJNA266616	SAMN03249380	ASM160542v1	I472		Illumina;PacBio	1	4111652	146.0		PACBIO_SMRT	97.22	0.58	78.75696	2016-03-31
SRR3441688	GCF_001605665.1	Bordetella pertussis	520	PRJNA266616	SAMN03216678	ASM160566v1	I669		Illumina;PacBio	1	4103417	165.0		PACBIO_SMRT	97.28	0.58	94.34137	2016-03-31
SRR3441689	GCF_001605665.1	Bordetella pertussis	520	PRJNA266616	SAMN03216678	ASM160566v1	I669		Illumina;PacBio	1	4103417	165.0		PACBIO_SMRT	97.28	0.58	94.34137	2016-03-31
SRR5826156	GCF_001985065.1	Bordetella pertussis	520	PRJNA279196	SAMN03455338	ASM198506v1	E809	E809	Illumina;PacBio	1	4103251	230.0		PACBIO_SMRT	97.28	0.58	94.34137	2017-02-06
SRR5829677	GCF_001986025.1	Bordetella pertussis	520	PRJNA279196	SAMN03877218	ASM198602v1	H639		Illumina;PacBio	1	4088698	182.0		PACBIO_SMRT	97.28	0.58	94.34137	2017-02-06
SRR5829729	GCF_001986855.1	Bordetella pertussis	520	PRJNA279196	SAMN03702632	ASM198685v1	H866	H866	Illumina;PacBio	1	4111644	147.0		PACBIO_SMRT	97.58	0.58	96.28942	2017-02-06
SRR7908033	GCF_003431345.1	Bordetella pertussis	520	PRJNA486745	SAMN09862822	ASM343134v1	Tohama	Tohama	ONT	1	4102412	1.0		OXFORD_NANOPORE	98.09	0.52	98.23748	2018-08-29
SRR13674462	GCF_016903095.1	Bordetella pertussis	520	PRJNA231221	SAMN16357510	ASM1690309v1	FDAARGOS_1368	FDAARGOS_1368	Illumina;PacBio	1	4105067	1057.1		PACBIO_SMRT	98.36	0.52	100.0	2021-02-17
SRR13674464	GCF_016903175.1	Bordetella pertussis	520	PRJNA231221	SAMN16357511	ASM1690317v1	FDAARGOS_1369	FDAARGOS_1369	Illumina;PacBio	1	4104031	1182.4		PACBIO_SMRT	98.36	0.52	100.0	2021-02-17
SRR13674460	GCF_016904215.1	Bordetella pertussis	520	PRJNA231221	SAMN16357509	ASM1690421v1	FDAARGOS_1367	FDAARGOS_1367	Illumina;PacBio	1	4105604	1384.9		PACBIO_SMRT	97.28	0.58	94.34137	2021-02-17
SRR13674457	GCF_016904355.1	Bordetella pertussis	520	PRJNA231221	SAMN16357507	ASM1690435v1	FDAARGOS_1365	FDAARGOS_1365	Illumina;PacBio	1	4105080	993.3		PACBIO_SMRT	98.36	0.52	100.0	2021-02-17
SRR13674459	GCF_016904375.1	Bordetella pertussis	520	PRJNA231221	SAMN16357508	ASM1690437v1	FDAARGOS_1366	FDAARGOS_1366	Illumina;PacBio	1	4105436	873.3		PACBIO_SMRT	98.36	0.52	100.0	2021-02-17
SRR9849561	GCF_022407295.1	Bordetella pertussis	520	PRJNA556977	SAMN12385799	ASM2240729v1	NZ40	NZ40	Illumina;ONT	1	4103224	420.0		OXFORD_NANOPORE	97.28	0.58	94.34137	2022-02-28
SRR9849550	GCF_022407515.1	Bordetella pertussis	520	PRJNA556977	SAMN12385787	ASM2240751v1	NZ28	NZ28	Illumina;ONT	1	4107436	548.0		OXFORD_NANOPORE	97.28	0.58	94.34137	2022-02-28
SRR9849555	GCF_022409235.1	Bordetella pertussis	520	PRJNA556977	SAMN12385780	ASM2240923v1	NZ21	NZ21	Illumina;ONT	1	4105329	370.0		OXFORD_NANOPORE	97.22	0.58	78.75696	2022-02-28
SRR9849570	GCF_022409295.1	Bordetella pertussis	520	PRJNA556977	SAMN12385777	ASM2240929v1	NZ18	NZ18	Illumina;ONT	1	4106161	406.0		OXFORD_NANOPORE	97.28	0.58	94.34137	2022-02-28
SRR9849571	GCF_022409315.1	Bordetella pertussis	520	PRJNA556977	SAMN12385776	ASM2240931v1	NZ17	NZ17	Illumina;ONT	1	4107409	499.0		OXFORD_NANOPORE	97.28	0.58	94.34137	2022-02-28
SRR9849528	GCF_022409375.1	Bordetella pertussis	520	PRJNA556977	SAMN12385773	ASM2240937v1	NZ14	NZ14	Illumina;ONT	1	4104272	361.0		OXFORD_NANOPORE	97.28	0.58	94.34137	2022-02-28
SRR9849534	GCF_022409415.1	Bordetella pertussis	520	PRJNA556977	SAMN12385768	ASM2240941v1	NZ9	NZ9	Illumina;ONT	1	4106091	489.0		OXFORD_NANOPORE	97.28	0.58	94.34137	2022-02-28
